//
//	SKILL_ELEMENT_ICE = 0,
//	SKILL_ELEMENT_POISON = 1,
//	SKILL_ELEMENT_LIGHTNING = 2,
//	SKILL_ELEMENT_FIRE = 3,
//	SKILL_ELEMENT_EARTH = 4,
//	SKILL_ELEMENT_WIND = 5,
//	SKILL_ELEMENT_WATER = 6
//
//Index	Name	Damage	MP	AG	Range	Radio	Delay	Type	Effect	ReqLevl	ReqEner	ReqLead	RqKilCn	ReqGuildStatus	Element	DW	DK	FE	MG	DL	SU	RF	GL
280	"Explosion"	50	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
281	"Magic Pin Explosion"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
282	"Spirit Hook"	255	0	21	3	2	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0
300	"Durability Reduction (1)"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
301	"PvP Defence Rate Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
302	"Maximum SD increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
303	"Auto Mana Recovery Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
304	"Poison Resistance Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	5	3	3	3	3	3	3	0	3
305	"Durability Reduction (2)"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
306	"SD Recovery Speed Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
307	"Automatic HP Recovery Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
308	"Lightning Resistance Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	2	3	3	3	3	3	3	0	3
309	"Defense Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
310	"Automatic AG Recovery Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
311	"Ice Resistance Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
312	"Durability Reduction (3)"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
313	"Defense Success Rate Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
314	"Cast Invincibility"	38	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
315	"Armor Set Bonus Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
316	"Vengeance"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
317	"Energy Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
318	"Stamina Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
319	"Agility Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
320	"Strength Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
321	"Wing of Storm Absorption PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
322	"Wing of Storm Defense PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
324	"Wing of Storm Attack PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
325	"Attack Success Rate Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
326	"Cyclone Strengthener"	0	9	0	2	0	300	5	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0
327	"Slash Strengthener"	0	10	0	2	0	300	5	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0
328	"Falling Slash Strengt"	0	9	0	3	0	300	5	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0
329	"Lunge Strengthener"	0	9	0	2	0	300	5	0	0	0	0	0	0	4	0	3	0	0	0	0	0	3
330	"Twisting Slash Strengthener"	0	0	0	0	3	0	5	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0
331	"Rageful Blow Strengthener"	60	25	22	0	4	0	4	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0
332	"Twisting Slash Mastery"	0	0	0	0	3	0	5	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0
333	"Rageful Blow Mastery"	60	50	30	0	4	0	4	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0
334	"Maximum Life Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
335	"Weapon Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
336	"Add Death Stab Improved"	70	15	12	3	2	0	5	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0
337	"Strike of Destruction Power Up"	110	30	24	6	3	0	0	86	0	0	0	0	0	2	0	3	0	0	0	0	0	0
338	"Maximum Mana Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
339	"Death Stab Proficiency"	70	30	26	3	2	0	5	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0
340	"Strike of Destruction Proficiency"	110	30	24	6	3	0	0	86	0	0	0	0	0	2	0	3	0	0	0	0	0	0
341	"Maximum AG Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
342	"Death Stab Mastery"	70	30	26	3	2	0	5	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0
343	"Strike of Destruction Mastery"	110	30	24	6	3	0	0	86	0	0	0	0	0	2	0	3	0	0	0	0	0	0
344	"Blood Storm"	25	87	29	3	4	5000	*	0	0	0	0	0	0	4	0	3	0	3	0	0	0	0
345	"Combo Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
346	"Blood Storm Strengthener"	25	95	31	3	4	3000	*	0	0	0	0	0	0	4	0	3	0	3	0	0	0	0
347	"Attack Rate"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
348	"Two-handed Sword Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0
349	"One-handed Sword Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0
350	"Mace Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
351	"Spear Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
352	"Two-handed Sword Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0
353	"One-handed Sword Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0
354	"Mace Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
355	"Spear Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
356	"Swell Life Strengthener"	0	24	26	0	5	0	*	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0
357	"Mana Reduction"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
358	"Monster Attack SD Increment"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
359	"Monster Attack Life Increment"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
360	"Swell Life Proficiency"	0	26	28	0	5	0	*	135	0	0	0	0	0	0	0	3	0	0	0	0	0	0
361	"Minimum Attack Power Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	3	3	0	0	3
362	"Monster Attack Mana Increment"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
363	"Swell Life Mastery"	0	28	30	0	5	0	*	136	0	0	0	0	0	0	0	3	0	0	0	0	0	0
364	"Maximum Attack Power Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	3	3	0	0	3
//365		0	0	0	0	0	0	*	0	0	0	0	0	0	3	3	0	3	3	3	3	0	3
366	"Increases critical damage rate"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
367	"Restores all Mana"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
368	"Restores all HP"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
369	"Increases excellent damage rate"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
370	"Increases double damage rate"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
371	"Increases chance of ignore Def"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
372	"Restores all SD"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	3	3	3	3	3	0	3
//373	"Increases triple damage rate"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
374	"Eternal Wings Absorption PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
375	"Eternal Wings Defense PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
377	"Eternal Wings Attack PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
378	"Flame Strengthener"	25	55	0	0	6	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
379	"Lightning Strengthener"	17	20	0	6	0	300	2	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0
380	"Expansion of Wizardry Power Up"	0	220	55	0	0	0	*	138	0	0	0	0	0	0	3	0	0	0	0	0	0	0
381	"Inferno Strengthener"	100	220	0	0	6	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
382	"Blast Strengthener"	70	165	0	0	6	0	2	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0
383	"Expansion of Wizardry Mastery"	0	220	55	0	0	0	*	139	0	0	0	0	0	0	3	0	0	0	0	0	0	0
384	"Poison Strengthener"	12	46	0	6	0	0	1	55	0	0	0	0	0	5	3	0	0	0	0	0	0	0
385	"Evil Spirit Strengthener"	45	108	0	0	6	0	*	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0
386	"Magic Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
387	"Decay Strengthener"	95	120	10	6	4	0	1	55	0	0	0	0	0	5	3	0	0	0	0	0	0	0
388	"Hellfire Strengthener"	120	176	0	0	6	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
389	"Ice Strengthener"	10	42	0	6	0	0	0	56	0	0	0	0	0	2	3	0	0	0	0	0	0	0
390	"Meteor Strengthener"	21	13	0	6	0	0	4	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0
391	"Ice Storm Strengthener"	80	110	5	6	4	0	0	56	0	0	0	0	0	2	3	0	0	0	0	0	0	0
392	"Nova Strengthener"	22	198	49	0	6	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
393	"Ice Storm Mastery"	80	110	5	6	4	0	0	56	0	0	0	0	0	2	3	0	0	0	0	0	0	0
394	"Meteor Mastery"	21	14	0	6	0	0	4	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0
395	"Nova Cast Strengthener"	100	198	0	6	4	0	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
397	"One-handed Staff Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0
398	"Two-handed Staff Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0
399	"Shield Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
400	"One-handed Staff Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0
401	"Two-handed Staff Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0
402	"Shield Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
403	"Soul Barrier Strengthener"	0	77	27	6	0	0	*	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0
404	"Soul Barrier Proficiency"	0	84	27	6	0	0	*	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0
405	"Minimum Wizardry Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0
406	"Soul Barrier Mastery"	0	92	28	6	0	0	*	140	0	0	0	0	0	0	3	0	0	0	0	0	0	0
407	"Maximum Wizardry Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0
409	"Illusion Wings Absorption PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
410	"Illusion Wings Defense PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
411	"Multi-Shot Strengthener"	40	11	7	6	6	0	*	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0
412	"Illusion Wings Attack PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
413	"Heal Strengthener"	0	22	0	6	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
414	"Triple Shot Strengthener"	0	5	0	6	6	0	*	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0
415	"Summoned Monster Power Up(1)"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
416	"Penetration Strengthener"	70	10	11	0	6	0	5	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0
417	"Defense Increase Strengthener"	0	33	0	6	0	0	*	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0
418	"Triple Shot Mastery"	0	9	0	6	6	0	*	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0
