//Index	Group	Rank	MinLvl	MaxLvl	MainValue1	MainValue2	MainValue3	MainValue4	MainValue5	MainValue6	MainValue7	MainValue8	MainValue9	MainValue10	MainValue11	MainValue12	MainValue13	MainValue14	MainValue15	MainValue16	MainValue17	MainValue18	MainValue19	MainValue20	RelatedSkill	ReplaceSkill	RequireSkill	RequireSkill	DW	DK	FE	MG	DL	SU	RF	GL
316		1		6		1		20		1.00		1.25		1.47		1.67		1.86		2.04		2.21		2.37		2.51		2.64		2.76		2.86		2.95		3.03		3.10		3.16		3.21		3.26		3.30		3.34		0				0				315				0				24	24	24	24	24	24	0	24
317		1		7		1		20		12			20			27			34			41			47			52			57			62			66			70			74			77			79			82			84			86			87			89			90			0				0				0				0				25	25	25	25	25	25	0	25
318		1		7		1		20		12			20			27			34			41			47			52			57			62			66			70			74			77			79			82			84			86			87			89			90			0				0				0				0				26	26	26	26	26	26	0	26
319		1		7		1		20		12			20			27			34			41			47			52			57			62			66			70			74			77			79			82			84			86			87			89			90			0				0				0				0				27	27	27	27	27	27	0	27
320		1		7		1		20		12			20			27			34			41			47			52			57			62			66			70			74			77			79			82			84			86			87			89			90			0				0				0				0				28	28	28	28	28	28	0	28

322		1		8		1		20		12			20			27			34			41			47			52			57			62			66			70			74			77			79			82			84			86			87			89			90			0				0				0				0				0	30	0	0	0	0	0	0

324		1		9		1		20		12			20			27			34			41			47			52			57			62			66			70			74			77			79			82			84			86			87			89			90			0				0				322				0				0	34	0	0	0	0	0	0
325		2		1		1		20		511			857			1179		1478		1755		2011		2246		2462		2659		2838		3000		3145		3276		3392		3494		3584		3661		3728		3784		3831		0				0				0				0				37	37	37	37	37	37	0	37
326		2		2		1		20		5			9			12			16			19			22			25			27			30			32			34			36			37			38			40			41			42			42			43			44			22				22				0				0				0	41	0	0	0	0	0	0
327		2		2		1		20		6			11			15			19			23			27			30			33			36			39			41			43			45			46			48			49			50			51			52			53			23				23				0				0				0	42	0	0	0	0	0	0
328		2		2		1		20		6			11			15			19			23			27			30			33			36			39			41			43			45			46			48			49			50			51			52			53			19				19				0				0				0	43	0	0	0	0	0	0
329		2		2		1		20		6			11			15			19			23			27			30			33			36			39			41			43			45			46			48			49			50			51			52			53			20				20				0				0				0	44	0	0	0	0	0	41
330		2		3		1		20		6			11			15			19			23			27			30			33			36			39			41			43			45			46			48			49			50			51			52			53			41				41				0				0				0	45	0	0	0	0	0	0
331		2		3		1		20		5			9			12			16			19			22			25			27			30			32			34			36			37			38			40			41			42			42			43			44			42				42				0				0				0	46	0	0	0	0	0	0

//Index	Group	Rank	MinLvl	MaxLvl	MainValue1	MainValue2	MainValue3	MainValue4	MainValue5	MainValue6	MainValue7	MainValue8	MainValue9	MainValue10	MainValue11	MainValue12	MainValue13	MainValue14	MainValue15	MainValue16	MainValue17	MainValue18	MainValue19	MainValue20	RelatedSkill	ReplaceSkill	RequireSkill	RequireSkill	DW	DK	FE	MG	DL	SU	RF	GL
334		2		4		1		20		102			171			235			295			351			402			449			492			531			567			600			629			655			678			698			716			732			745			756			766			0				0				0				0				51	51	52	52	52	52	0	52
335		2		4		1		20		5			9			12			16			19			22			25			27			30			32			34			36			37			38			40			41			42			42			43			44			0				0				0				0				0	52	0	0	0	0	0	0
336		2		5		1		20		5			9			12			16			19			22			25			27			30			32			34			36			37			38			40			41			42			42			43			44			43				43				0				0				0	53	0	0	0	0	0	0
337		2		5		1		20		5			9			12			16			19			22			25			27			30			32			34			36			37			38			40			41			42			42			43			44			232				232				0				0				0	54	0	0	0	0	0	0
338		2		5		1		20		102			171			235			295			351			402			449			492			531			567			600			629			655			678			698			716			732			745			756			766			0				0				334				0				55	55	56	56	56	56	0	56
339		2		6		1		20		1.81		3.03		4.16		5.22		6.20		7.10		7.93		8.69		9.39		10.02		10.59		11.10		11.56		11.97		12.33		12.65		12.92		13.16		13.36		13.52		43				336				336				0				0	57	0	0	0	0	0	0

341		2		6		1		20		27			47			65			82			97			112			125			137			148			159			168			176			183			190			196			201			205			209			212			215			0				0				338				0				59	59	60	60	60	60	0	60


344		2		8		10		10		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		344				0				0				0				0	66	0	66	0	0	0	0
345		2		7		1		20		1.81		3.03		4.16		5.22		6.20		7.10		7.93		8.69		9.39		10.02		10.59		11.10		11.56		11.97		12.33		12.65		12.92		13.16		13.36		13.52		0				0				0				0				0	61	0	0	0	0	0	0
346		2		9		1		20		5			9			12			16			19			22			25			27			30			32			34			36			37			38			40			41			42			42			43			44			344				344				344				0				0	70	0	70	0	0	0	0
347		3		1		1		20		818			1372		1887		2366		2809		3218		3594		3939		4254		4541		4800		5033		5242		5427		5591		5734		5859		5965		6055		6130		0				0				0				0				73	73	73	73	73	73	0	73
348		3		2		1		20		8			15			21			27			32			37			41			45			49			52			55			58			60			63			64			66			68			69			70			71			0				0				0				0				0	77	0	77	0	0	0	0
349		3		2		1		20		5			9			12			16			19			22			25			27			30			32			34			36			37			38			40			41			42			42			43			44			0				0				0				0				0	78	0	78	0	0	0	0
350		3		2		1		20		6			11			15			19			23			27			30			33			36			39			41			43			45			46			48			49			50			51			52			53			0				0				0				0				0	79	0	0	0	0	0	0
351		3		2		1		20		6			11			15			19			23			27			30			33			36			39			41			43			45			46			48			49			50			51			52			53			0				0				0				0				0	80	0	0	0	0	0	0
352		3		3		1		20		11			19			27			34			40			46			52			57			62			66			70			73			76			79			81			83			85			87			88			89			0				0				348				0				0	81	0	81	0	0	0	0
353		3		3		1		10		1			2			3			4			5			6			7			8			9			10			0			0			0			0			0			0			0			0			0			0			0				0				349				0				0	82	0	82	0	0	0	0
354		3		3		1		20		1.20		2.02		2.78		3.48		4.13		4.73		5.29		5.79		6.26		6.68		7.06		7.40		7.71		7.98		8.22		8.43		8.62		8.77		8.91		9.02		0				0				350				0				0	83	0	0	0	0	0	0
355		3		3		1		20		1.20		2.02		2.78		3.48		4.13		4.73		5.29		5.79		6.26		6.68		7.06		7.40		7.71		7.98		8.22		8.43		8.62		8.77		8.91		9.02		0				0				351				0				0	84	0	0	0	0	0	0

//Index	Group	Rank	MinLvl	MaxLvl	MainValue1	MainValue2	MainValue3	MainValue4	MainValue5	MainValue6	MainValue7	MainValue8	MainValue9	MainValue10	MainValue11	MainValue12	MainValue13	MainValue14	MainValue15	MainValue16	MainValue17	MainValue18	MainValue19	MainValue20	RelatedSkill	ReplaceSkill	RequireSkill	RequireSkill	DW	DK	FE	MG	DL	SU	RF	GL
356		3		4		1		20		1.81		3.03		4.16		5.22		6.20		7.10		7.93		8.69		9.39		10.02		10.59		11.10		11.56		11.97		12.33		12.65		12.92		13.16		13.36		13.52		48				48				0				0				0	85	0	0	0	0	0	0
357		3		4		1		20		7.22		12.11		16.66		20.88		24.79		28.40		31.72		34.76		37.54		40.07		42.35		44.41		46.25		47.89		49.34		50.60		51.70		52.64		53.43		54.10		0				0				0				0				86	86	86	86	86	86	0	86
358		3		4		1		20		9.14		5.45		3.96		3.16		2.66		2.32		2.08		1.90		1.76		1.65		1.56		1.49		1.43		1.38		1.3			1.3			1.28		1.25		1.24		1.22		0				0				0				0				87	87	87	87	87	87	0	87
359		3		4		1		20		43.19		25.77		18.73		14.94		12.59		10.99		9.84		8.98		8.31		7.79		7.37		7.02		6.75		6.51		6.32		6.17		6.04		5.93		5.84		5.77		0				0				0				0				88	88	88	88	88	88	0	88
360		3		5		1		20		1.81		3.03		4.16		5.22		6.20		7.10		7.93		8.69		9.39		10.02		10.59		11.10		11.56		11.97		12.33		12.65		12.92		13.16		13.36		13.52		48				356				356				0				0	89	0	0	0	0	0	0
361		3		5		1		20		5			9			12			16			19			22			25			27			30			32			34			36			37			38			40			41			42			42			43			44			0				0				0				0				0	90	0	90	91	0	0	90
362		3		5		1		20		43.19		25.77		18.73		14.94		12.59		10.99		9.84		8.98		8.31		7.79		7.37		7.02		6.75		6.51		6.32		6.17		6.04		5.93		5.84		5.77		0				0				359				0				92	92	92	92	92	92	0	92
363		3		6		1		20		1.81		3.03		4.16		5.22		6.20		7.10		7.93		8.69		9.39		10.02		10.59		11.10		11.56		11.97		12.33		12.65		12.92		13.16		13.36		13.52		48				360				360				0				0	93	0	0	0	0	0	0
364		3		6		1		20		6			11			15			19			23			27			30			33			36			39			41			43			45			46			48			49			50			51			52			53			0				0				361				0				0	94	0	94	95	0	0	94
366		3		6		1		20		1.00		1.25		1.47		1.67		1.86		2.04		2.21		2.37		2.51		2.64		2.76		2.86		2.95		3.03		3.10		3.16		3.21		3.26		3.3			3.34		0				0				0				0				96	96	96	96	96	96	0	96
367		3		7		1		20		1.00		1.25		1.47		1.67		1.86		2.04		2.21		2.37		2.51		2.64		2.76		2.86		2.95		3.03		3.10		3.16		3.21		3.26		3.3			3.34		0				0				0				0				97	97	97	97	97	97	0	97
368		3		7		1		20		1.00		1.25		1.47		1.67		1.86		2.04		2.21		2.37		2.51		2.64		2.76		2.86		2.95		3.03		3.10		3.16		3.21		3.26		3.3			3.34		0				0				0				0				98	98	98	98	98	98	0	98
369		3		7		1		20		1.00		1.25		1.47		1.67		1.86		2.04		2.21		2.37		2.51		2.64		2.76		2.86		2.95		3.03		3.10		3.16		3.21		3.26		3.3			3.34		0				0				366				0				100	100	100	100	100	100	0	100
370		3		8		1		20		1.00		1.25		1.47		1.67		1.86		2.04		2.21		2.37		2.51		2.64		2.76		2.86		2.95		3.03		3.10		3.16		3.21		3.26		3.3			3.34		0				0				0				0				104	104	104	104	104	104	0	104
371		3		9		1		20		1.00		1.25		1.47		1.67		1.86		2.04		2.21		2.37		2.51		2.64		2.76		2.86		2.95		3.03		3.10		3.16		3.21		3.26		3.3			3.34		0				0				370				0				108	108	108	108	108	108	0	108
372		3		8		1		20		1.00		1.25		1.47		1.67		1.86		2.04		2.21		2.37		2.51		2.64		2.76		2.86		2.95		3.03		3.10		3.16		3.21		3.26		3.3			3.34		0				0				368				0				102	102	102	102	102	102	0	102

//Index	Group	Rank	MinLvl	MaxLvl	MainValue1	MainValue2	MainValue3	MainValue4	MainValue5	MainValue6	MainValue7	MainValue8	MainValue9	MainValue10	MainValue11	MainValue12	MainValue13	MainValue14	MainValue15	MainValue16	MainValue17	MainValue18	MainValue19	MainValue20	RelatedSkill	ReplaceSkill	RequireSkill	RequireSkill	DW	DK	FE	MG	DL	SU	RF	GL
375		1		8		1		20		12.04				20.18				27.76				34.80				41.31		47.33				52.86				57.94				62.57				66.78				70.59				74.02				77.09				79.82				82.23				84.34				86.16				87.73				89.05				90.16		0		0		0		0		30		0		0		0		0		0		0		0

377		1		9		1		20		12.04				20.18				27.76				34.80				41.31		47.33				52.86				57.94				62.57				66.78				70.59				74.02				77.09				79.82				82.23				84.34				86.16				87.73				89.05				90.16		0		0		375		0		34		0		0		0		0		0		0		0
378		2		2		1		20		6.32				11.21				15.76				19.98				23.89		27.50				30.82				33.86				36.64				39.17				41.45				43.51				45.35				46.99				48.44				49.70				50.80				51.74				52.53				53.20		5		5		0		0				41		0		0		0		0		0		0		0
379		2		2		1		20		6.32				11.21				15.76				19.98				23.89		27.50				30.82				33.86				36.64				39.17				41.45				43.51				45.35				46.99				48.44				49.70				50.80				51.74				52.53				53.20		3		3		0		0				42		0		0		0		0		0		0		0
380		2		2		1		20		1.20				2.02				2.78				3.48				4.13				4.73				5.29				5.79				6.26				6.68				7.06				7.40				7.71				7.98				8.22				8.43				8.62				8.77				8.91				9.02		233		233		0		0				43		0		0		0		0		0		0		0
381		2		3		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		14		14		378		0				45		0		0		0		0		0		0		0
382		2		3		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		13		13		379		0				46		0		0		0		0		0		0		0
383		2		3		1		20		1.20				2.02				2.78				3.48				4.13				4.73				5.29				5.79				6.26				6.68				7.06				7.40				7.71				7.98				8.22				8.43				8.62				8.77				8.91				9.02		233		380		380		0				47		0		0		0		0		0		0		0

//Index	Group	Rank	MinLvl	MaxLvl	MainValue1	MainValue2	MainValue3	MainValue4	MainValue5	MainValue6	MainValue7	MainValue8	MainValue9	MainValue10	MainValue11	MainValue12	MainValue13	MainValue14	MainValue15	MainValue16	MainValue17	MainValue18	MainValue19	MainValue20	RelatedSkill	ReplaceSkill	RequireSkill	RequireSkill	DW	DK	FE	MG	DL	SU	RF	GL
384		2		3		1		20		6.32				11.21				15.76				19.98				23.89		27.50				30.82				33.86				36.64				39.17				41.45				43.51				45.35				46.99				48.44				49.70				50.80				51.74				52.53				53.20		1		1		0		0				48		0		0		0		0		0		0		0
385		2		4		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		9		9		0		0				49		0		0		0		0		0		0		0
386		2		4		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		0		0		385		0				50		0		0		0		0		0		0		0
387		2		4		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		38		38		0		0				52		0		0		0		0		0		0		0
//Index	Group	Rank	MinLvl	MaxLvl	MainValue1	MainValue2	MainValue3	MainValue4	MainValue5	MainValue6	MainValue7	MainValue8	MainValue9	MainValue10	MainValue11	MainValue12	MainValue13	MainValue14	MainValue15	MainValue16	MainValue17	MainValue18	MainValue19	MainValue20	RelatedSkill	ReplaceSkill	RequireSkill	RequireSkill	DW	DK	FE	MG	DL	SU	RF	GL
388		2		5		1		20		6.32				11.21				15.76				19.98				23.89		27.50				30.82				33.86				36.64				39.17				41.45				43.51				45.35				46.99				48.44				49.70				50.80				51.74				52.53				53.20		10		10		0		0				54		0		0		0		0		0		0		0
389		2		5		1		20		6.32				11.21				15.76				19.98				23.89		27.50				30.82				33.86				36.64				39.17				41.45				43.51				45.35				46.99				48.44				49.70				50.80				51.74				52.53				53.20		7		7		0		0				56		0		0		0		0		0		0		0
390		2		6		1		20		8.83				15.34				21.41				27.04				32.25		37.06				41.49				45.55				49.25				52.62				55.67				58.42				60.87				63.06				64.98				66.67				68.13				69.38				70.44				71.33		2		2		0		0		57		0		0		0		0		0		0		0
391		2		6		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		39		39		389		0		60		0		0		0		0		0		0		0
392		2		7		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		40		40		388		0		62		0		0		0		0		0		0		0
393		2		7		1		20		1.20				2.02				2.78				3.48				4.13				4.73				5.29				5.79				6.26				6.68				7.06				7.40				7.71				7.98				8.22				8.43				8.62				8.77				8.91				9.02		39		391		391		0		64		0		0		0		0		0		0		0
394		2		8		1		20		1.20				2.02				2.78				3.48				4.13				4.73				5.29				5.79				6.26				6.68				7.06				7.40				7.71				7.98				8.22				8.43				8.62				8.77				8.91				9.02		2		390		390		0		65		0		0		0		0		0		0		0
//395		2		7		1		20		1.20				2.02				2.78				3.48				4.13				4.73				5.29				5.79				6.26				6.68				7.06				7.40				7.71				7.98				8.22				8.43				8.62				8.77				8.91				9.02		2		0		0		0		0		0		0		0		0		0		0		0
397		3		2		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		0		0		0		0				77		0		0		79		0		0		0		0
398		3		2		1		20		8.83				15.34				21.41				27.04				32.25		37.06				41.49				45.55				49.25				52.62				55.67				58.42				60.87				63.06				64.98				66.67				68.13				69.38				70.44				71.33		0		0		0		0				78		0		0		80		0		0		0		0
399		3		2		1		20		8.03				14.54				20.61				26.24				31.45		36.26				40.69				44.75				48.45				51.82				54.87				57.62				60.07				62.26				64.18				65.87				67.33				68.58				69.64				70.53		0		0		0		0				79		0		0		0		0		0		0		0
400		3		3		1		10		1.00		2.00		3.00		4.00		5.00		6.00		7.00		8.00		9.00		10.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0		0		397		0				81		0		0		83		0		0		0		0
401		3		3		1		20		11.54				19.68				27.26				34.30				40.81		46.83				52.36				57.44				62.07				66.28				70.09				73.52				76.59				79.32				81.73				83.84				85.66				87.23				88.55				89.66		0		0		398		0				82		0		0		84		0		0		0		0
402		3		3		1		20		12.04				20.18				27.76				34.80				41.31		47.33				52.86				57.94				62.57				66.78				70.59				74.02				77.09				79.82				82.23				84.34				86.16				87.73				89.05				90.16		0		0		399		0				83		0		0		0		0		0		0		0
403		3		4		1		20		1.81				3.03				4.16				5.22				6.20				7.10				7.93				8.69				9.39				10.02				10.59				11.10				11.56				11.97				12.33				12.65				12.92				13.16				13.36				13.52		16		16		0		0				85		0		0		0		0		0		0		0
404		3		5		1		20		8.03				14.54				20.61				26.24				31.45		36.26				40.69				44.75				48.45				51.82				54.87				57.62				60.07				62.26				64.18				65.87				67.33				68.58				69.64				70.53		16		403		403		0				89		0		0		0		0		0		0		0
405		3		5		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		0		0		0		0				90		0		0		89		0		0		0		0
406		3		6		1		20		1.81				3.03				4.16				5.22				6.20				7.10				7.93				8.69				9.39				10.02				10.59				11.10				11.56				11.97				12.33				12.65				12.92				13.16				13.36				13.52		16		404		404		0		93		0		0		0		0		0		0		0
407		3		6		1		20		6.32				11.21				15.76				19.98				23.89		27.50				30.82				33.86				36.64				39.17				41.45				43.51				45.35				46.99				48.44				49.70				50.80				51.74				52.53				53.20		0		0		405		0		94		0		0		93		0		0		0		0
//409		1		8		1		20		12.04				20.18				27.76				34.80				41.31		47.33				52.86				57.94				62.57				66.78				70.59				74.02				77.09				79.82				82.23				84.34				86.16				87.73				89.05				90.16		0		0		0		0		0		0		29		0		0		0		0		0
410		1		8		1		20		12.04				20.18				27.76				34.80				41.31		47.33				52.86				57.94				62.57				66.78				70.59				74.02				77.09				79.82				82.23				84.34				86.16				87.73				89.05				90.16		0		0		0		0		0		0		30		0		0		0		0		0
411		2		6		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		235		235		0		0		0		0		59		0		0		0		0		0
412		1		9		1		20		12.04				20.18				27.76				34.80				41.31		47.33				52.86				57.94				62.57				66.78				70.59				74.02				77.09				79.82				82.23				84.34				86.16				87.73				89.05				90.16		0		0		410		0		0		0		34		0		0		0		0		0
413		2		2		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		26		26		0		0				0		0		41		0		0		0		0		0
414		2		2		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		24		24		0		0				0		0		43		0		0		0		0		0
415		2		2		1		20		60.02				100.90				138.79				173.98				206.56		236.64				264.31				289.68		312.84				333.90				352.96		370.11				385.45				399.10				411.14		421.68				430.81				438.64				445.27		450.80		0		0		0		0				0		0		44		0		0		0		0		0
416		2		3		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		52		52		0		0				0		0		45		0		0		0		0		0
417		2		3		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		27		27		0		0				0		0		46		0		0		0		0		0
418		2		3		10		10		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		24		414		414		0				0		0		47		0		0		0		0		0
419		2		3		1		20		60.02				100.90				138.79				173.98				206.56		236.64				264.31				289.68		312.84				333.90				352.96		370.11				385.45				399.10				411.14		421.68				430.81				438.64				445.27		450.80		0		0		415		0				0		0		48		0		0		0		0		0
420		2		4		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		28		28		0		0				0		0		49		0		0		0		0		0
421		2		4		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		0		0		0		0				0		0		51		0		0		0		0		0
422		2		5		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		28		420		420		0				0		0		53		0		0		0		0		0
423		2		5		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		27		417		417		0				0		0		54		0		0		0		0		0
424		2		5		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		51		51		0		0				0		0		55		0		0		0		0		0
425		2		6		10		10		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		425		0		423		0		0		0		58		0		0		0		0		0
426		2		7		10		10		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		426		0		0		0		0		0		61		0		0		0		0		0
427		2		8		10		10		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		427		0		0		0		0		0		67		0		0		0		0		0
428		2		7		1		20		60.02				100.90				138.79				173.98				206.56		236.64				264.31				289.68		312.84				333.90				352.96		370.11				385.45				399.10				411.14		421.68				430.81				438.64				445.27		450.80		0		0		0		0		0		0		64		0		0		0		0		0
429		2		8		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		426		426		426		0		0		0		65		0		0		0		0		0
430		2		8		10		10		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		430		0		0		0		0		0		66		0		0		0		0		0
431		2		7		1		20		1.20				2.02				2.78				3.48				4.13				4.73				5.29				5.79				6.26				6.68				7.06				7.40				7.71				7.98				8.22				8.43				8.62				8.77				8.91				9.02		235		411		411		0		0		0		63		0		0		0		0		0
432		2		8		10		10		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		432		0		428		0		0		0		68		0		0		0		0		0
433		2		9		1		20		8.03				14.54				20.61				26.24				31.45		36.26				40.69				44.75				48.45				51.82				54.87				57.62				60.07				62.26				64.18				65.87				67.33				68.58				69.64				70.53		0		0		430		0		0		0		70		0		0		0		0		0
434		2		9		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		427		427		427		0		0		0		71		0		0		0		0		0
435		3		2		1		20		5.02				9.09				12.88				16.40				19.66		22.66				25.43				27.97				30.28				32.39				34.30				36.01				37.55				38.91				40.11				41.17				42.08				42.86				43.53				44.08		0		0		0		0				0		0		77		0		0		0		0		0
436		3		2		1		20		6.32				11.21				15.76				19.98				23.89		27.50				30.82				33.86				36.64				39.17				41.45				43.51				45.35				46.99				48.44				49.70				50.80				51.74				52.53				53.20		0		0		0		0				0		0		78		0		0		0		0		0
437		3		2		1		20		8.03				14.54				20.61				26.24				31.45		36.26				40.69				44.75				48.45				51.82				54.87				57.62				60.07				62.26				64.18				65.87				67.33				68.58				69.64				70.53		0		0		0		0				0		0		79		0		0		0		0		0
