//9 = push
//0 = stern
//14 = tirar buff
//20 = ataque normal

0
//Index   Name                                 Type   SuccessRate   ContinuanceTime   IncAndDecType   IncAndDecValue   NullifiedMagic   CharacterClass   CharacterLevel
57        "Monster Skill Element"              6      100           *                 11              300              *                0                0
58        "Monster Skill Element"              5      100           5                 1               50               *                0                0
59        "Monster Skill Element"              0      15            2                 *               *                *                0                0
60        "Monster Skill Element"              2      100           0                 1               10               *                0                0
61        "Monster Skill Element"              20     100           10                *               *                *                0                0
62        "Monster Skill Element"              19     100           10                *               10               *                0                0
63        "Monster Skill Element"              19     100           10                *               5                *                0                0
64        "Monster Skill Element"              9      100           10                *               3                *                0                0
65        "Monster Skill Element"              19     100           10                102             50               *                0                0
66        "Monster Skill Element"              9      100           10                *               4                *                0                0
67        "Monster Skill Element"              6      100           *                 1               150              *                0                0
68        "Monster Skill Element"              5      100           *                 1               150              *                0                0
69        "Monster Skill Element"              1      40            10                12              50               *                0                0
70        "Monster Skill Element"              5      100           10                2               20               *                0                0
71        "Monster Skill Element"              20     100           10                *               *                *                0                0
72        "Monster Skill Element"              20     100           10                *               *                *                0                0
73        "Monster Skill Element"              20     100           10                *               *                *                0                0
74        "Monster Skill Element"              0      10            3                 *               *                *                0                0
75        "Monster Skill Element"              2      80            20                12              100              *                0                0
76        "Monster Skill Element"              2      100           0                 12              500              *                0                0
77        "Monster Skill Element"              1      100           10                12              30               *                0                0
78        "Monster Skill Element"              20     100           10                *               *                *                0                0
79        "Monster Skill Element"              20     100           10                *               *                *                0                0
80        "Monster Skill Element"              20     100           10                *               *                *                0                0
81        "Monster Skill Element"              19     50            10                12              50               10               0                0
82        "Monster Skill Element"              20     100           10                *               *                *                0                0
83        "Monster Skill Element"              20     100           10                *               *                *                0                0
84        "Monster Skill Element"              20     100           10                *               *                *                0                0
85        "Monster Skill Element"              1      50            10                12              50               300              0                0
86        "Monster Skill Element"              20     100           10                *               *                *                0                0
87        "Monster Skill Element"              20     100           10                *               *                *                0                0
88        "Monster Skill Element"              20     100           10                *               *                *                0                0
89        "Monster Skill Element"              0      25            3                 *               *                300              0                0
90        "Monster Skill Element"              20     100           10                *               *                *                0                0
91        "Monster Skill Element"              20     100           10                *               *                *                0                0
92        "Monster Skill Element"              20     100           10                *               *                *                0                0
93        "Monster Skill Element"              9      100           10                *               5                300              0                0
94        "Monster Skill Element"              20     100           10                *               *                *                0                0
95        "Monster Skill Element"              20     100           10                *               *                *                0                0
96        "Monster Skill Element"              20     100           10                *               *                *                0                0
97        "Monster Skill Element"              2      100           0                 12              100              300              0                0
//s12
98	"Lord Silvester - General strike"		20	100	10	*	*	500	0	0
99	"Lord Silvester - Wind whirlwind"		20	100	10	*	*	1800	0	0
100	"Lord Silvester - Curse of the wind"		22	100	10	*	*	1800	0	0
101	"Lord Silvester - Wind called (summoned)"	8	100	0	*	*	2000	0	0
102	"Lord Silvester - Stun"				0	50	3	*	*	*	0	0
103	"Lord Silvester - Invincible"			21	100	10	11	10000	*	0	0
104	"Lord Silvester - Pushing"			9	100	10	*	5	1800	0	0
105	"EvoMon Attack"					20	100	10	*	*	*	0	0
106	"Core Magriffy SingleAttack Poison"		19	100	0	*	10	*	0	0
107	"Core Magriffy MultiAttack"			20	100	10	*	*	0	0	0
108	"Core Magriffy Clone"				9	100	0	*	3	*	0	0
109	"Core Magriffy Healing"				2	100	*	11	20000	*	0	0
110	"Core Magriffy Berserker"			6	100	10	11	100	0	0	0
111	"Core Magriffy Clone"				23	100	0	*	*	*	0	0
112	"Lord of Ferea Attack"				20	100	10	*	*	*	0	0
113	"Lord of Ferea Attack in Target Area"		24	100	10	*	*	2	0	0
114	"Lord of Ferea Reset MP"			3	100	10	2	100	*	0	0
115	"Lord of Ferea Reset AG"			4	100	10	2	100	*	0	0
116	"Lord of Ferea Summon General"			8	100	0	*	*	*	0	0

//Index	Name					Type	SuccessRate	ContinuanceTime	IncAndDecType	IncAndDecValue	NullifiedMagic	CharacterClass	CharacterLevel
//122		"Nixie Normal Attack"	20		100			10				*				*				*				0				0
//123		"Nixie Ice Breath"		24		100			10				*				*				*				0				0
//125		"Nixie Ice Boom"		25		100			10				*				*				1000			0				0
//126		"Nixie Devil Ice"		26		100			10				*				*				5000			0				0

//Index	Name					Type	SuccessRate	ContinuanceTime	IncAndDecType	IncAndDecValue	NullifiedMagic	CharacterClass	CharacterLevel
122		"Nix - Normal Attack"	20		100			10				*				*				*				0				0
123		"Nix - Energy Sphere"	34		100			30				*				*				1000			0				0
124		"Nix - Ice Lane"		35		100			10				*				*				*				0				0
125		"Nix - Ice Spell"		36		100			60				*				*				*				0				0
126		"Nix - Ice Boom"		37		100			10				*				*				1000			0				0
127		"Nix - Devilice"		38		100			10				*				*				7000			0				0

//118	"Cent Fire Slash"				25	100	0	*	*	0	0	0
//119	"Cent Twister"					20	100	0	*	*	*	0	0
//120	"Cent Nova Beginning"				0	0	0	*	*	*	0	0
//121	"Cent Nova"					20	100	0	*	*	*	0	0
//122	"Cent Fire Blood"				25	100	0	0	10	1	0	0
//123	"Cent Ice Blood"				25	100	0	0	20	2	0	0

end
