0
//Index   Name                                 TargetType   ScopeType   ScopeValue   Delay   Slot1   Slot2   Slot3   Slot4   Slot5
73        "Monster Skill Unit"                 1            *           0            300     47      9       7       *       * 
74        "Monster Skill Unit"                 1            *           0            300     47      74      6       *       * 
75        "Monster Skill Unit"                 1            *           0            300     47      27      6       *       * 
76        "Monster Skill Unit"                 1            *           0            300     47      27      5       *       * 
77        "Monster Skill Unit"                 1            *           0            300     47      74      27      *       * 
78        "Monster Skill Unit"                 1            0           10           300     75      *       *       *       * 
79        "Monster Skill Unit"                 1            0           10           300     76      77      *       *       * 
80        "Monster Skill Unit"                 1            0           10           300     72      77      *       *       * 
81        "Monster Skill Unit"                 1            0           10           300     25      8       *       *       * 
82        "Monster Skill Unit"                 1            *           0            300     78      *       *       *       * 
83        "Monster Skill Unit"                 1            *           0            300     79      *       *       *       * 
84        "Monster Skill Unit"                 1            *           0            300     80      81      *       *       * 
85        "Monster Skill Unit"                 1            *           0            300     82      *       *       *       * 
86        "Monster Skill Unit"                 1            *           0            300     83      *       *       *       * 
87        "Monster Skill Unit"                 1            *           0            300     84      85      *       *       * 
88        "Monster Skill Unit"                 1            *           0            300     86      *       *       *       * 
89        "Monster Skill Unit"                 1            *           0            300     87      *       *       *       * 
90        "Monster Skill Unit"                 1            *           0            300     88      89      *       *       * 
91        "Monster Skill Unit"                 1            *           0            300     90      *       *       *       * 
92        "Monster Skill Unit"                 1            *           0            300     91      *       *       *       * 
93        "Monster Skill Unit"                 1            *           0            300     92      93      *       *       * 
94        "Monster Skill Unit"                 1            *           0            300     94      *       *       *       * 
95        "Monster Skill Unit"                 1            *           0            300     95      *       *       *       * 
96        "Monster Skill Unit"                 1            *           0            300     96      97      *       *       * 
//S12
97	"Lord Silvester - General Strike"	3	*	0	300	98	102	*	*	*
98	"Lord Silvester - Wind whirlwind"	1	*	0	300	99	104	*	*	*
99	"Lord Silvester - Curse of the wind"	3	*	0	300	100	104	*	*	*
100	"Lord Silvester - Wind called (summoned)"	2	*	0	300	101	103	*	*	*
101	"EvoMon Five Shot"			1	1	6	300	105	*	*	*	*
102	"EvoMon Gigantic Storm"			1	0	4	300	105	*	*	*	*
103	"EvoMon Triple Shot"			1	1	6	300	105	*	*	*	*
106	"Core Magriffy Poison"			1	1	0	300	106	*	*	*	*
107	"Core Magriffy Twister"			1	0	6	300	107	*	*	*	*
108	"Core Magriffy Shout"			1	0	3	300	108	*	*	*	*
109	"Core Magriffy Heal"			5	*	0	300	109	*	*	*	*
110	"Core Magriffy Berserker"		5	*	0	300	110	*	*	*	*
111	"Core Magriffy Clone"			5	*	0	300	111	*	*	*	*
112	"Lord of Ferea Normal Attack"		1	*	0	300	112	*	*	*	*
113	"Lord of Ferea Explosion Mine (Single Attack)"	1	0	3	300	112	*	*	*	*
114	"Lord of Ferea Whirlwind"		1	1	6	300	113	*	*	*	*
115	"Lord of Ferea Roar"			1	0	4	300	114	115	*	*	*
116	"Lord of Ferea Summon Lord General"	2	*	0	300	116	*	*	*	*

//Index	Name					TargetType	ScopeType	ScopeValue	Delay	Slot1	Slot2	Slot3	Slot4	Slot5
117		"Nixie Normal Attack"	1			*			15			300		122		*		*		*		*
118		"Nixie Energy Sphere"	1			*			15			300		123		*		*		*		*
119		"Nixie Ice Lane"		1			0			15			300		124		*		*		*		*
120		"Nixie Ice Breath"		1			*			15			300		125		*		*		*		*
121		"Nixie Ice Boom"		1			*			15			300		126		*		*		*		*
122		"Nixie Devil Ice"		1			*			15			300		127		*		*		*		*
123		"Nixie Absorption"		1			*			15			300		*		*		*		*		*

//125	"Cent Fire Slash"			1	4	3	300	118	*	*	*	*
//126	"Cent Twister"				1	0	6	300	119	*	*	*	*
//128	"Cent Nova Beginning"			5	*	0	300	120	*	*	*	*
//129	"Cent Nova"				1	0	6	300	120	*	*	*	*
//130	"Cent Fire Blood"			1	4	3	300	122	*	*	*	*
//131	"Cent Ice Blood"			1	4	3	300	123	*	*	*	*

end
