//   0 = eShinyGreen, 1 = eGold, 2 = eWhite, 3 = eWhite180, 4 = eOrange, 5 = eGray100, 6 = eGray150, 7 = eBlowPink, 8 = eRed, 9 = eExcellent, 10 = eAncient, 11 = eSocket, 12 = eBlue, 13 = eYellow, 14 = eBrown

//Temporada 21
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	Bonus	WcoinC	AL_Coin	Rank					Color																		
	54	*	2.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Soldier"		1
	78	*	1.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Goblin"			1	
	79	*	5.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Dragon"			1	
	81	*	3.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Vepar"			1
	83	*	2.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Iron Wheel"		1
	493	*	2.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Dark Knight"	1
	495	*	2.5		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Stone Golem"	1	
	496	*	2.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Crust"			1
	500	*	2.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Napin"			1
	502	*	1.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Rabbit"			1
	413	*	1.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Gold Rabbit"			1
	
//Boss Elemental Médios
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	
	790	*	1000.0	*	50000	40		50		20000	60000	900		40		3600	0		0		*		10000	500		0		*		"Monster of the Swamp"	4
	791	*	1000.0	*	50000	40		50		20000	60000	900		40		3600	0		0		*		10000	500		0		*		"Pet of the Swamp"		12
	792	*	1000.0	*	50000	40		50		20000	60000	900		40		3600	0		0		*		10000	500		0		*		"Pet of the Swamp"		12
	793	*	1000.0	*	50000	40		50		20000	60000	900		40		3600	0		0		*		10000	500		0		*		"Monster of the Water"	10
	595	*	1000.0	*	50000	40		50		20000	60000	900		40		3600	0		0		*		10000	500		0		*		"Gnome"					12

//Boss Elemental Tops
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	746	*	2100.0	*	100000	70		85		9900	50000	1200	40		0		0		0		*		50000	500		0		*		"Nix"					12
	778	*	2100.0	*	100000	40		80		10000	40000	1200	40		7200	0		0		*		5000	1000	0		*		"Deep Gorgon"			12
	794	*	2100.0	*	100000	40		80		10000	40000	1200	40		7200	0		0		*		5000	1000	0		*		"God of Darkness"		8

//Blood Castle
	131	*	100.0	0	0	0	1	10000	40000	500	10	0	0	0	*	0	100	0	*	"Castle Gate"		2
	132	*	100.0	0	0	0	1	10000	40000	500	10	0	0	0	*	0	100	0	*	"Statue of Saint"	2
	133	*	100.0	0	0	0	1	10000	40000	500	10	0	0	0	*	0	100	0	*	"Statue of Saint"	2
	134	*	100.0	0	0	0	1	10000	40000	500	10	0	0	0	*	0	100	0	*	"Statue of Saint"	2	

//Indefinidos
	
	677	*	10.0	0	1000	10	20	40000	69900	500	5	0	0	0	*	200	50	0	*	"Golden Goblin"		1
	652	*	40.0	0	1000	10	20	40000	68000	500	5	0	0	0	*	200	50	0	*	"Golden Goblin"		1
	653	*	41.0	0	3000	10	20	40000	67000	500	5	0	0	0	*	210	50	0	*	"Golden Titan"		1
	654	*	42.0	0	4000	10	20	40000	66000	500	5	0	0	0	*	215	50	0	*	"Golden Tantalose"	1	
	
	627	*	30.0	0	100	1	2	40000	64000	500	5	0	0	0	*	0	0	0	*	"Cursed Fire Tower"		12
	673	*	30.0	0	5000	20	35	40000	46000	500	40	0	0	0	*	460	50	0	*	"Lord Silvester"	12	
	
	735	*	20.0	0	0	1	2	40000	50000	500	5	0	0	0	*	200	50	0	*	"Ferea Crystal Orb"		12	

	716	*	1.0	0	7500	1	40	40000	53500	500	40	0	0	0	*	500	50	0	*	"Core Magriffy"			12
	717	*	1.0	0	3300	1	40	40000	61800	500	5	0	0	0	*	200	50	0	*	"Core Magriffy"			12
	718	*	1.0	0	3300	1	40	40000	61800	500	5	0	0	0	*	200	50	0	*	"Core Magriffy"			12
	
//Eventos HitAndDrop
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	647	*	1.0	0	0		1		10		10000	39000	500		1		40		0		0		*		5000	50		0		1		"Green Snake (green)"	12
	648	*	1.0	0	0		1		10		10000	39000	500		1		40		0		0		*		5000	50		0		1		"Yellow Snake (yellow)"	12
	649	*	1.0	0	0		1		10		10000	39000	500		1		40		0		0		*		5000	50		0		1		"Purple Snake (purple)"	12
	650	*	1.0	0	0		1		10		10000	39000	500		1		40		0		0		*		5000	50		0		1		"Red Snake (red)"		12

	691	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"NewYear Horse (Green)"	12
	692	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"NewYear Horse (Yelow)"	12
	693	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"NewYear Horse (Brown)"	12
	694	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"NewYear Horse (Blue)"	12
	726	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Green Sheep"			12
	727	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"White Sheep"			12
	728	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Purple Sheep"			12
	729	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Red Sheep"				12
	795	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Cachorro Verde"		12
	796	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Cachorro Branco"		12
	797	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Cachorro Roxo"			12
	798	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Cachorro Amarelo"		12
	739	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Macaco Verde"			12
	740	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Macaco Branco"			12
	741	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Macaco Roxo"			12
	742	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Macaco Amarelo"		12
	759	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Galo Verde"			12
	760	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Galo Branco"			12
	761	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Galo Roxo"				12
	762	*	1.0		0	0		1		10		10000	99000	500		1		0		0		0		*		1000	50		0		*		"Galo Amarelo"			12

	675	*	10.0	0	0		1		10		40000	69000	500		5		0		0		0		*		200		50		0		*		"Pouch of Blessing"		12
	676	*	10.0	0	0		1		10		40000	69000	500		5		0		0		0		*		200		50		0		*		"Fire Flame Ghost"		12
	365	*	10.0	0	0		1		10		40000	69000	500		5		0		0		0		*		200		50		0		*		"Pouch of Blessing"		12
	463	*	10.0	0	0		1		10		40000	69000	500		5		0		0		0		*		200		50		0		*		"Fire Flame Ghost"		12
	
	
//Relouin
	//516	*	1000.0	0	130000	20		50		15000	30000	1000	40		0		0		0		*		10000	500		0		1		"Capirota"		7
	
//Natal
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	Bonus	WcoinC	AL_Coin	Rank					Color																		
	476	*	500.0	0	50000	20		30		40000	80000	1000	20		0		0		0		*		10000	100		0		1		"Noel Malvadao"			8
	466	*	10.0	0	1000	10		20		50000	200000	160		5		0		0		0		*		5000	50		0		1		"Cursed Goblin"			12
	
end



