//===================================================================================
//Index	Group	Type	X		Y		Text
//===================================================================================
//Lorencia NPC
91		0		0		115		168		"Entrance to Acheron Town"
91		0		0		147		202		"Entrance to Acheron Town"
91		0		0		64		220		"Entrance to Uruk Mountain"
91		0		0		90		182		"Entrance to Nars"
91		1		2		29		210		"Archeron Quest Deruvish"
91		1		2		38		216		"Ertel Combine Adniel"
91		1		4		56		202		"Potion Shop Jin"
91		1		5		50		184		"Storage"
91	1	6 241 50	"SPOT"
91	1	6 210 72	"SPOT"
91	1	6 236 87	"SPOT"
91	1	6 176 83	"SPOT"
91	1	6 198 121	"SPOT"
91	1	6 187 101	"SPOT"
91	1	6 224 142	"SPOT"
91	1	6 237 173	"SPOT"
91	1	6 193 176	"SPOT"
91	1	6 167 208	"SPOT"
91	1	6 241 199	"SPOT"
91	1	6 240 235	"SPOT"
91	1	6 207 213	"SPOT"
91	1	6 225 20	"SPOT"
91	1	6 176 18	"SPOT"
91	1	6 172 48	"SPOT"
91	1	6 144 11	"SPOT"
91	1	6 155 75	"SPOT"
91	1	6 122 71	"SPOT"
91	1	6 91 39	"SPOT"
91	1	6 45 39	"SPOT"
91	1	6 19 20	"SPOT"
91	1	6 35 85	"SPOT"
91	1	6 68 74	"SPOT"
91	1	6 138 118	"SPOT"
91	1	6 160 149	"SPOT"
91	1	6 114 160	"SPOT"
91	1	6 107 128	"SPOT"
91	1	6 62 140	"SPOT"
91	1	6 34 108	"SPOT"

95		0		0		17		107		"Entrance to Acheron Town"
95	1	6 20 103	"SPOT"
95	1	6 51 75	"SPOT"
95	1	6 82 97	"SPOT"
95	1	6 24 23	"SPOT"
95	1	6 65 20	"SPOT"
95	1	6 88 38	"SPOT"
95	1	6 96 59	"SPOT"
95	1	6 117 8	"SPOT"
95	1	6 128 48	"SPOT"
95	1	6 136 94	"SPOT"
95	1	6 173 103	"SPOT"
95	1	6 158 54	"SPOT"
95	1	6 167 17	"SPOT"
95	1	6 208 7	"SPOT"
95	1	6 209 44	"SPOT"
95	1	6 243 47	"SPOT"
95	1	6 243 81	"SPOT"
95	1	6 202 92	"SPOT"


100		0		0		24		90		"Entrance to Acheron Town"
100		0		0		40		82		"Blue Gate"
100		0		0		212		32		"Blue Gate"
100		0		0		41		98		"Red Gate"
100		0		0		109		230		"Red Gate"

100	1	6	33 41	"SPOT"
100	1	6	38 88	"SPOT"
100	1	6	38 145	"SPOT"
100	1	6	59 174	"SPOT"
100	1	6	108 235	"SPOT"
100	1	6	109 194	"SPOT"
100	1	6	94 155	"SPOT"
100	1	6	71 128	"SPOT"
100	1	6	91 93	"SPOT"
100	1	6	103 62	"SPOT"
100	1	6	133 154	"SPOT"
100	1	6	200 140	"SPOT"
100	1	6	202 106	"SPOT"
100	1	6	152 207	"SPOT"
100	1	6	186 190	"SPOT"
100	1	6	217 217	"SPOT"
100	1	6	236 170	"SPOT"
100	1	6	241 131	"SPOT"
100	1	6	234 83	"SPOT"
100	1	6	202 51	"SPOT"
100	1	6	179 18	"SPOT"
100	1	6	97 8	"SPOT"
100	1	6	135 11	"SPOT"
100	1	6	163 54	"SPOT"
100	1	6	129 43	"SPOT"
100	1	6	140 83	"SPOT"
100	1	6	181 89	"SPOT"
100	1	6	168 125	"SPOT"


110		0		0		210		190		"Entrance to Acheron Town"
110		0		0		178		148		"Entrance to Core Magriffy Nest"
110		0		0		131		172		"Entrance to Core Magriffy Nest"
110		0		0		179		185		"Red Gate"
110		0		0		127		34		"Red Gate"
110		0		0		179		211		"Blue Gate"
110		0		0		37		195		"Blue Gate"

110	1	6 16 50	"SPOT"
110	1	6 32 7	"SPOT"
110	1	6 58 27	"SPOT"
110	1	6 86 32	"SPOT"
110	1	6 114 20	"SPOT"
110	1	6 139 33	"SPOT"
110	1	6 162 18	"SPOT"
110	1	6 200 15	"SPOT"
110	1	6 180 49	"SPOT"
110	1	6 179 84	"SPOT"
110	1	6 194 101	"SPOT"
110	1	6 217 113	"SPOT"
110	1	6 237 87	"SPOT"
110	1	6 234 56	"SPOT"
110	1	6 225 28	"SPOT"
110	1	6 240 130	"SPOT"
110	1	6 245 166	"SPOT"
110	1	6 190 150	"SPOT"
110	1	6 214 198	"SPOT"
110	1	6 178 188	"SPOT"
110	1	6 210 237	"SPOT"
110	1	6 247 216	"SPOT"
110	1	6 171 230	"SPOT"
110	1	6 140 245	"SPOT"
110	1	6 143 203	"SPOT"
110	1	6 109 217	"SPOT"
110	1	6 79 232	"SPOT"
110	1	6 42 226	"SPOT"
110	1	6 20 205	"SPOT"
110	1	6 23 163	"SPOT"
110	1	6 23 128	"SPOT"
110	1	6 65 140	"SPOT"
110	1	6 60 105	"SPOT"
110	1	6 35 86	"SPOT"
110	1	6 101 124	"SPOT"
110	1	6 79 78	"SPOT"
110	1	6 142 81	"SPOT"
110	1	6 114 67	"SPOT"
110	1	6 83 182	"SPOT"

112		0		0		232		175		"Tarkan Entrance"
112		0		0		196		179		"Red Gate"
112		0		0		99		71		"Red Gate"
112		0		0		196		142		"Blue Gate"
112		0		0		80		236		"Blue Gate"
112		0		0		60		122		"Boss Zone Entrance"

112	1	6 212 167	"SPOT"
112	1	6 197 195	"SPOT"
112	1	6 180 224	"SPOT"
112	1	6 235 215	"SPOT"
112	1	6 213 137	"SPOT"
112	1	6 235 106	"SPOT"
112	1	6 222 76	"SPOT"
112	1	6 241 52	"SPOT"
112	1	6 227 18	"SPOT"
112	1	6 196 33	"SPOT"
112	1	6 169 26	"SPOT"
112	1	6 140 17	"SPOT"
112	1	6 156 71	"SPOT"
112	1	6 186 73	"SPOT"
112	1	6 194 105	"SPOT"
112	1	6 166 136	"SPOT"
112	1	6 156 171	"SPOT"
112	1	6 141 211	"SPOT"
112	1	6 110 232	"SPOT"
112	1	6 62 238	"SPOT"
112	1	6 14 237	"SPOT"
112	1	6 16 202	"SPOT"
112	1	6 19 163	"SPOT"
112	1	6 62 170	"SPOT"
112	1	6 82 194	"SPOT"
112	1	6 41 217	"SPOT"
112	1	6 106 188	"SPOT"
112	1	6 99 155	"SPOT"
112	1	6 90 121	"SPOT"
112	1	6 139 139	"SPOT"
112	1	6 119 101	"SPOT"
112	1	6 159 102	"SPOT"
112	1	6 107 68	"SPOT"
112	1	6 65 69	"SPOT"
112	1	6 23 55	"SPOT"
112	1	6 37 11	"SPOT"
112	1	6 85 11	"SPOT"
112	1	6 110 37	"SPOT"




113		0		0		16		124		"Raklion Entrance"
113		0		0		66		114		"Blue Gate"
113		0		0		145		95		"Blue Gate"
113		0		0		113		109		"Spirit Nixie (Nix's Haven)"

113	1	6	80	236	"SPOT"
113	1	6	128	199	"SPOT"
113	1	6	115	171	"SPOT"
113	1	6	82	164	"SPOT"
113	1	6	39	162	"SPOT"
113	1	6	50	188	"SPOT"
113	1	6	102	231	"SPOT"
113	1	6	128	239	"SPOT"
113	1	6	148	225	"SPOT"
113	1	6	157	200	"SPOT"
113	1	6	152	171	"SPOT"
113	1	6	135	146	"SPOT"
113	1	6	180	219	"SPOT"
113	1	6	218	229	"SPOT"
113	1	6	240	212	"SPOT"
113	1	6	240	178	"SPOT"
113	1	6	221	163	"SPOT"
113	1	6	234	131	"SPOT"
113	1	6	177	181	"SPOT"
113	1	6	186	158	"SPOT"
113	1	6	206	120	"SPOT"
113	1	6	179	112	"SPOT"
113	1	6	160	149	"SPOT"
113	1	6	152	127	"SPOT"
113	1	6	242	92	"SPOT"
113	1	6	204	92	"SPOT"
113	1	6	243	71	"SPOT"
113	1	6	242	48	"SPOT"
113	1	6	213	54	"SPOT"
113	1	6	243	20	"SPOT"
113	1	6	224	8	"SPOT"
113	1	6	209	28	"SPOT"
113	1	6	181	57	"SPOT"
113	1	6	193	11	"SPOT"
113	1	6	167	28	"SPOT"
113	1	6	153	68	"SPOT"
113	1	6	143	43	"SPOT"
113	1	6	142	11	"SPOT"
113	1	6	119	9	"SPOT"
113	1	6	92	22	"SPOT"
113	1	6	105	43	"SPOT"
113	1	6	116	68	"SPOT"
113	1	6	75	81	"SPOT"
113	1	6	77	44	"SPOT"
113	1	6	54	16	"SPOT"
113	1	6	18	22	"SPOT"
113	1	6	19	64	"SPOT"
113	1	6	39	94	"SPOT"
113	1	6	52	51	"SPOT"

116		0		0		116		126		"Lorencia"
116		0		0		131		133		"Deep Dungeon 2"

116		1		6		150		166		"SPOT X"
116		1		6		165		195		"SPOT X"
116		1		6		125		188		"SPOT X"
116		1		6		148		226		"SPOT X"
116		1		6		162		239		"SPOT X"
116		1		6		116		219		"SPOT X"
116		1		6		142		245		"SPOT X"
116		1		6		110		245		"SPOT X"
116		1		6		97		240		"SPOT X"
116		1		6		97		131		"SPOT X"
116		1		6		88		150		"SPOT X"
116		1		6		57		131		"SPOT X"
116		1		6		60		148		"SPOT X"
116		1		6		27		138		"SPOT X"
116		1		6		5		145		"SPOT X"
116		1		6		47		186		"SPOT X"
116		1		6		9		174		"SPOT X"
116		1		6		13		189		"SPOT X"
116		1		6		126		169		"SPOT X"
116		1		6		111		154		"SPOT X"
116		1		6		97		171		"SPOT X"
116		1		6		79		213		"SPOT X"
116		1		6		49		215		"SPOT X"
116		1		6		67		241		"SPOT X"
116		1		6		19		214		"SPOT X"
116		1		6		20		229		"SPOT X"
116		1		6		33		238		"SPOT X"
116		1		6		190		175		"SPOT X"
116		1		6		195		195		"SPOT X"
116		1		6		212		213		"SPOT X"
116		1		6		239		199		"SPOT X"
116		1		6		240		226		"SPOT X"
116		1		6		212		235		"SPOT X"
116		1		6		184		235		"SPOT X"
116		1		6		172		176		"SPOT X"
116		1		6		246		147		"SPOT X"
116		1		6		228		141		"SPOT X"
116		1		6		206		128		"SPOT X"
116		1		6		208		143		"SPOT X"
116		1		6		236		165		"SPOT X"
116		1		6		237		179		"SPOT X"
116		1		6		200		155		"SPOT X"
116		1		6		185		131		"SPOT X"
116		1		6		164		131		"SPOT X"

117		0		0		131		132		"Deep Dungeon 1"
117		0		0		115		125		"Deep Dungeon 3"

117		1		6		119		96		"SPOT X"
117		1		6		91		116		"SPOT X"
117		1		6		51		72		"SPOT X"
117		1		6		63		83		"SPOT X"
117		1		6		18		73		"SPOT X"
117		1		6		17		83		"SPOT X"
117		1		6		15		105		"SPOT X"
117		1		6		32		119		"SPOT X"
117		1		6		52		114		"SPOT X"
117		1		6		115		59		"SPOT X"
117		1		6		96		75		"SPOT X"
117		1		6		72		26		"SPOT X"
117		1		6		54		11		"SPOT X"
117		1		6		39		6		"SPOT X"
117		1		6		7		6		"SPOT X"
117		1		6		27		27		"SPOT X"
117		1		6		7		37		"SPOT X"
117		1		6		8		52		"SPOT X"
