//SetItemDropRate  1/1000000
//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   PvPDamageRate     SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle   Comment
45        *       12          100              100            100               0                 0                0              0            //Illusion Temple 1
46        *       12          100              100            100               0                 0                0              0            //Illusion Temple 2
47        *       12          100              100            100               0                 0                0              0            //Illusion Temple 3
48        *       12          100              100            100               0                 0                0              0            //Illusion Temple 4
49        *       12          100              100            100               0                 0                0              0            //Illusion Temple 5
50        *       12          100              100            100               0                 0                0              0            //Illusion Temple 6
51        *       12          100              50             100               0                 0                1              0            //Elbeland
52        *       12          100              100            100               0                 0                1              0            //Blood Castle 8
53        *       12          100              100            100               0                 0                0              0            //Chaos Castle 7
56        *       12          100              100            100               0                 0                1              0            //Swamp of Calmness
57        *       12          100              100            100               0                 1                1              0            //Raklion 1
58        *       12          100              100            100               0                 1                1              0            //Raklion 2
62        *       12          100              100            100               0                 0                1              0            //Santa Town
63        *       12          100              100            100               0                 0                1              1            //Vulcanus
64        *       12          100              100            100               0                 0                0              0            //Duel Arena
65        *       12          100              100            100               0                 0                1              0            //Double Goer 1
66        *       12          100              100            100               0                 0                1              0            //Double Goer 2
67        *       12          100              100            100               0                 0                1              0            //Double Goer 3
68        *       12          100              100            100               0                 0                1              0            //Double Goer 4
69        *       12          100              100            100               0                 0                1              0            //Imperial Guardian 1
70        *       12          100              100            100               0                 0                1              0            //Imperial Guardian 2
71        *       12          100              100            100               0                 0                1              0            //Imperial Guardian 3
72        *       12          100              100            100               0                 0                1              0            //Imperial Guardian 4
79        *       12          100              100            100               0                 0                1              0            //Loren Market
80        *       12          100              100            100               0                 0                1              0            //Karutan 1
81        *       12          100              100            100               0                 0                1              0            //Karutan 2
//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   PvPDamageRate     SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle   Comment
91        *       12          100              100            100               0                 0                1              0            //Acheron 1
92        *       12          100              100            100               0                 0                1              0            //Acheron 2
95        *       12          100              100            100               0                 0                1              0            //Deventer 1
96        *       12          100              100            100               0                 0                1              0            //Deventer 2
97        *       12          100              100            100               0                 0                0              0            //Chaos Castle Final
98        *       12          100              100            100               0                 0                0              0            //Illusion Temple Final 1
99        *       12          100              100            100               0                 0                0              0            //Illusion Temple Final 2
//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   PvPDamageRate     SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle   Comment
100       *       12          100              100            100               0                 0                1              0            //
110       *       12          100              100            100               0                 0                1              0            //
112       *       12          100              100            100               0                 0                1              0            //Ferea
113       *       12          100              100            100               0                 0                1              0            //Nixies Lake
115       *       12          100              100            100               0                 0                1              0            //
//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   PvPDamageRate     SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle   Comment
116       *       12          150              100            100               0                 0                1              0            //Deep Dungeon 1
117       *       12          160              100            100               0                 0                1              0            //Deep Dungeon 2
118       *       12          175              100            100               0                 0                1              0            //Deep Dungeon 3
119       *       12          190              100            100               0                 0                1              0            //Deep Dungeon 4
120       *       12          200              100            100               0                 0                1              0            //Deep Dungeon 5
121       *       12          0                0              100               0                 0                0              0            //4th quest
122       *       12          150              100            100               10                0                1              0            //Swamp of Darkness
end
