//Cat	Type	StatTyp	Tier1	Tier2	Tier3
11	66	3	43	0	0
11	67	3	44	0	0
11	68	3	45	0	0
11	69	3	46	0	0
11	70	3	47	0	0
11	71	3	48	0	0
11	72	3	49	0	0
11	94	3	73	0	0
11	95	3	75	0	0
11	96	3	76	0	0
11	97	3	77	0	0
11	98	3	78	0	0
11	102	3	86	0	0
11	104	3	90	0	0
11	106	3	132	0	0
11	110	3	136	0	0
11	112	3	138	0	0
11	115	3	141	0	0
11	130	3	94	95	0
11	131	3	96	97	0
11	132	3	98	99	0
11	133	3	100	101	0
11	134	3	102	103	0
11	135	3	104	105	0
11	136	3	106	107	0
11	137	3	108	109	0
11	138	3	110	0	0
11	142	3	114	0	0
11	144	3	116	0	0
11	150	3	118	0	0
11	154	3	122	0	0
11	156	3	124	0	0
11	161	3	129	0	0
11	162	3	130	0	0
11	163	3	131	0	0
11	164	3	150	0	0
11	168	3	154	0	0
11	170	3	156	0	0
11	173	3	159	0	0
13	8	1	1	62	0
13	9	3	9	33	0
13	12	2	5	60	0
13	13	0	7	53	0
13	21	2	19	32	0
13	22	0	21	12	0
13	23	1	9	71	0
13	24	2	13	35	0
13	25	0	13	34	0
13	26	1	15	59	0
13	27	3	31	58	0
13	28	1	29	56	0
end
