//Index   AllowDrop   AllowSell   AllowTrade   AllowVault   Comment
6269      0           1           1            1            //Seed Sphere (Water)
6270      0           1           1            1            //Seed Sphere (Ice)
6271      0           1           1            1            //Seed Sphere (Wind)
6272      0           1           1            1            //Seed Sphere (Lightning)
6273      0           1           1            1            //Seed Sphere (Earth)
6274      0           1           1            1            //Small Cape of Lord
6275      0           1           1            1            //Small Wing of Curse
6276      0           1           1            1            //Small Wings of Elf
6277      0           1           1            1            //Small Wings of Heaven
6278      0           1           1            1            //Small Wings of Satan
6279      0           1           1            1            //Small Cloak of Warrior
6406      0           1           1            1            //Cloak of Death
6407      0           1           1            1            //Wings of Chaos
6408      0           1           1            1            //Wings of Magic
6409      0           1           1            1            //Wings of Life
6410      0           1           1            1            //Wings of Conqueror
6411      0           1           1            1            //Wings of Angel and Devil
6280      0           1           1            1            //Bundled Jewel of Life
6281      0           1           1            1            //Bundled Jewel of Creation
6282      0           1           1            1            //Bundled Jewel of Guardian
6283      0           1           1            1            //Bundled Gemstone
6284      0           1           1            1            //Bundled Jewel of Harmony
6285      0           1           1            1            //Bundled Jewel of Chaos
6286      0           1           1            1            //Bundled Lower Refining Stone
6287      0           1           1            1            //Bundled Higer Refining Stone
6656      0           1           1            1            //Guardian Angel
6657      0           1           1            1            //Imp
6658      0           1           1            1            //Horn of Uniria
6659      0           1           1            1            //Horn of Dinorant
6675      1           0           0            0            //Absolute Weapon of Archangel
6676      1           1           0            0            //Wizards Ring
6693      0           1           1            1            //Horn of Fenrir
6694      1           1           0            1            //Moonstone Pendant
6695      1           1           0            1            //Eilte Transfer Skeleton Ring
6710      0           1           1            1            //Reset Fruit Strength
6711      0           1           1            1            //Reset Fruit Quickness
6712      0           1           1            1            //Reset Fruit Health
6713      0           1           1            1            //Reset Fruit Energy
6714      0           1           1            1            //Reset Fruit Control
6720      0           1           1            1            //Demon
6721      0           1           1            1            //Spirit of Guardian
6723      0           1           1            1            //Pet Rudolf
6736      0           1           1            1            //Pet Panda
7181      0           1           1            1            //Jewel of Bless
7182      0           1           1            1            //Jewel of Soul
7184      0           1           1            1            //Jewel of Life
7190      0           1           1            1            //Jewel of Creation
7209      0           1           1            1            //Gemstone
7210      0           1           1            1            //Jewel of Harmony
7211      0           1           1            1            //Lower refining stone
7212      0           1           1            1            //Higher refining stone
7221      0           1           1            1            //Talisman of Luck
7232      1           0           0            0            //Cursed Castle Water
7264      0           1           1            1            //Talisman of Chaos Assembly
7357      0           1           1            1            //Elemental Talisman of Luck
7358      0           1           1            1            //Elemental Talisman of Chaos Assembly
6359      0           1           0            0            //Pentagram of Beginners
6360      0           1           0            0            //Iron Shield (Bound)
6362      0           1           0            0            //Magic Spell Scroll (Bound)

6423      0           1           0            0            //Cloak of Death (Bound)
6424      0           1           0            0            //Wings of Chaos (Bound)
6425      0           1           0            0            //Wings of Magic (Bound)
6426      0           1           0            0            //Wings of Life (Bound)

6566      0           1           0            0            // [Bound]Wings of Soul
6567      0           1           0            0            // [Bound]Wings of Dragon
6568      0           1           0            0            // [Bound]Wings of Spirits
6569      0           1           0            0            // [Bound]Wings of Darkness
6570      0           1           0            0            // [Bound]Cape of Lord
6571      0           1           0            0            // [Bound]Wings of Despair
6572      0           1           0            0            // [Bound]Cape of Fighter
6573      0           1           0            0            // [Bound]Cloak of Limit
6574      0           1           0            0            // [Bound]Wings of Eternal
6575      0           1           0            0            // [Bound]Wings of Storm
6576      0           1           0            0            // [Bound]Wings of Illusion
6577      0           1           0            0            // [Bound]Wings of Ruin
6578      0           1           0            0            // [Bound]Cape of Emperor
6579      0           1           0            0            // [Bound]Wings of Dimension
6580      0           1           0            0            // [Bound]Cape of Overrule
6581      0           1           0            0            // [Bound]Cloak of Transcendence
6551      0           1           0            0            // [Bound]Loch's Magic Solution
6552      0           1           0            0            // [Bound]Finished Loch's Magic Solution
6553      0           1           0            0            // [Bound]Condor's Magic Solution
6554      0           1           0            0            // [Bound]Finished Condor's Magic Solution

48        0           1           0            0            // 
49        0           1           0            0            // 
50        0           1           0            0            // 
1048      0           1           0            0            // 
1557      0           1           0            0            // 
2077      0           1           0            0            // 
2605      0           1           0            0            // 
2606      0           1           0            0            // 
2607      0           1           0            0            // 
2608      0           1           0            0            // 

3714      0           1           0            0            // 
3715      0           1           0            0            // 
3716      0           1           0            0            // 
3717      0           1           0            0            // 
3718      0           1           0            0            // 
3719      0           1           0            0            // 
3720      0           1           0            0            // 
3721      0           1           0            0            // 

4226      0           1           0            0            // 
4227      0           1           0            0            // 
4228      0           1           0            0            // 
4229      0           1           0            0            // 
4230      0           1           0            0            // 
4231      0           1           0            0            // 
4232      0           1           0            0            // 
4233      0           1           0            0            // 

4738      0           1           0            0            // 
4739      0           1           0            0            // 
4740      0           1           0            0            // 
4741      0           1           0            0            // 
4742      0           1           0            0            // 
4743      0           1           0            0            // 
4744      0           1           0            0            // 
4745      0           1           0            0            // 

5250      0           1           0            0            // 
5251      0           1           0            0            // 
5252      0           1           0            0            // 
5253      0           1           0            0            // 
5254      0           1           0            0            // 
5255      0           1           0            0            // 
5256      0           1           0            0            // 
5257      0           1           0            0            // 

5762      0           1           0            0            // 
5763      0           1           0            0            // 
5764      0           1           0            0            // 
5765      0           1           0            0            // 
5766      0           1           0            0            // 
5767      0           1           0            0            // 
5768      0           1           0            0            // 
5769      0           1           0            0            // 

7064      0           1           0            0            // Pendant of Ability (Bound)

7539      0           1           0            0            // [Bound] Bless of Light (Greater)
7540      0           1           0            0            // [Bound] Bless of Light (Middle Grade)
7541      0           1           0            0            // [Bound] Bless of Light (Low Grade)

7588      0           1           0            0            // [Bound]Mysterious Stone
7597      0           1           0            0            // +11 3rd Wings Chest (Bound)
end
