//0
// Pet options
// Option Type Name
// 1 "Increased attack power / power / curse +% d"
// 2 "Defense increase +% d"
// 3 "Increase Excellent Damage +% d"
// 4 "Critical Damage Increase +% d"
// 5 "+ skill attack +% d"
// 6 "damage reduction"
// 7 "Maximum attack / power / low-power increase +% d"
// 8 "Increased attack power, horsepower, and curse +% d (not apply PVP)"
// 9 "Defense increase +% d (not apply PVP)"
// 10 "Excellent damage increase +% d (PVP not applied)"
// 11 "Critical damage increase +% d (not apply PVP)"
// 12 "Increases skill attack power +% d (not apply PVP)"
// 13 "Reduce damage (not apply PVP)"
// 14 "Maximum attack power, magic power, and low power increase +% d (not apply PVP)"
// 15 "% d %% reduction in item repair cost"
// 16 "Additional XP% d %%"
// 17 "Increased Zen gain when monster dies% d %%"
// 18 "Increased attack power +% d"
// 19 "Increased attribute defense +% d"
// 20 "Increased attack power +% d (not apply PVP)"
// 21 "Increased attribute defense +% d (not apply PVP)"
// 22 "Increased attack power, magic power, and curse +% d (PVP40 %% applied)"
// 50 "attack skill (% d level)"
// 51 "Damage absorption skill (% d level)"
// 52 "Stern skill (% step)"
// 53 "Attack skill (% d level) (PVP not applied)"
// 54 "Damage absorption skill (% d level) (PVP not applied)"
// 55 "Stern skill (% level) (PVP not applied)"
// end

//One
// condition Type Name
// 1 "Special hunting ground"
// 2 "specific level"
// 3 "specific time"
// 4 "specific day of the week"
// 5 "Monster Kill Count"
// 6 "Designated Monster Kill Town" fail
// 7 "Game play time"
// 8 "Premium Week's Day Change"
// end

0
//Index	Type	Rank	Opt	Evolution	Comment 
8506 	40		1		4	8507		// Tarius
8507 	41		1		4	* 			// Tarius (Evolved)
8508 	38		1		2	8509		// Rainer 
8509 	38		1		2	* 			// Rainer (Evolved)	
8510 	39		1		2	8511 		// Alkamo 
8511 	39		1		2	* 			// Alkamo (Evolved)	
8512 	42		4		3	8513 		// Glacuse 
8513 	43		4		3	* 			// Glacuse (Evolved)	
8514 	44		4		3	8515 		// Kenturion
8515 	44		4		3	* 			// Kenturion (Evolved)
8516 	34		4		3	8517 		// Rocka 
8517 	34		4		3	* 			// Rocka (Evolved)	
8518 	45		1		4	8519 		// Repen
8519 	45		1		4	* 			// Repen (Evolved)
8520 	46		1		2	8521 		// Pawn 
8521 	46		1		2	* 			// Pawn (Evolved)	
8522 	47		1		2	8523 		// Griffs 
8523 	47		1		2	* 			// Griffs (Evolved)	
8524 	40		1		4	8525		// Polar Bear
8525 	40		1		4	* 			// Polar Bear (Evolved)
8526 	48		1		2	8527		// Present 
8527 	48		1		2	* 			// Present (Evolved)
8528 	25		1		2	8529 		// Rocking Horse 
8529 	25		1		2	* 			// Rocking Horse (Evolved)	
8530 	50		1		4	8531 		// Aries 
8531 	51		1		4	* 			// Aries (Evolved)	
8532 	49		1		2	8533 		// Lester 
8533 	49		1		2	* 			// Lester (Evolved)
8534 	39		1		2	8535 		// Merino 
8535 	39		1		2	* 			// Merino (Evolved)	
8536 	40		1		4	8538  		// Splinter 
8537 	41		1		4	* 			// Splinter (Evolved)	
8538 	52		1		2	8539 		// Mutation 
8539 	52		1		2	* 			// Mutation (Evolved)	
8540 	28		1		2	8541		// Fighter
8541 	28		1		2	* 			// Fighter (Evolved)
8601 	42		1		4	8602 		// Heywood 
8602 	43		1		4	* 			// Heywood (Evolved)	
8603 	53		1		2	8604		// Branch 
8604 	53		1		2	* 			// Branch (Evolved)	
8605 	54		1		2	8606 		// Hook 
8606 	54		1		2	* 			// Hook (Evolved)	
8607 	50		1		4	8608 		// Carnifle
8608 	51		1		4	* 			// Carnifle (Evolved)	
8609 	55		1		2	8610		// Mandora 
8610 	55		1		2	* 			// Mandora (Evolved)	
8611 	25		1		2	8612		// Treat 
8612 	25		1		2	* 			// Treat (Evolved)	
8613 	42		1		4	8614 		// Rose Spirit 
8614 	43		1		4	* 			// Rose Spirit (Evolved)
8615 	57		1		2	8616  		// Freesia Spirit 
8616 	57		1		2	* 			// Freesia Spirit (Evolved)	
8617 	39		1		2	8618 		// Cherry Blossom Spirit
8618 	39		1		2	* 			// Cherry Blossom Spirit (Evolved)	
8619 	40		1		4	8620 		// Gigantes 
8620 	41		1		4	* 			// Gigantes (Evolved)	
8621 	48		1		2	8622 		// Mammoth 
8622 	48		1		2	* 			// Mammoth (Evolved) 
8623 	25		1		2	8624 		// Walker 
8624 	25		1		2	* 			// Walker (Evolved)	
8625 	42		1		4	8626 		// Surfing Girl 
8626 	43		1		4	* 			// Surfing Girl (Evolved)
8627 	44		1		2	8628 		// Swim Tube Girl 
8628 	44		1		2	* 			// Swim Tube Girl (Evolved)	
8629 	34		1		2	8630 		// Snorkeling Girl
8630 	34		1		2	* 			// Snorkeling Girl (Evolved)
8631 	50		1		4	8632 		// Commander
8632 	51		1		4	* 			// Commander (Evolved)	
8633 	36		1		2	8634 		// Lance Soldier
8634 	36		1		2	* 			// Lance Soldier (Evolved)	
8635 	28		1		2	8637 		// Bow Soldier 
8636 	28		1		2	* 			// Bow Soldier (Evolved)	
8637 	42		1		4	8639 		// Hammer 
8638 	43		1		4	* 			// Hammer (Evolved)	
8639 	58		1		2	8640 		// Refear 
8640 	58		1		2	* 			// Refear (Evolved)
8641 	25		1		2	8642 		// Axer 
8642 	25		1		2	* 			// Axer (Evolved)
8643 	50		1		4	8644 		// Pumpkin Girl 
8644 	51		1		4	* 			// Pumpkin Girl (Evolved)	
8645 	7		1		2	8646 		// Ghost 
8646 	7		1		2	* 			// Ghost (Evolved)	
8647	54		1		2	8648 		// Mummy Boy 
8648 	54		1		2	* 			// Mummy Boy (Evolved)	
8649 	50		1		2	8650 		// Chrysanthemum 
8650 	51		1		2	* 			// Chrysanthemum (Evolved)
8651 	23		1		4	8653 		// Maple 
8652 	23		1		4	* 			// Maple (Evolved)	
8653 	39		1		4	8655 		// Ginkgo 
8654 	39		1		2	* 			// Ginkgo (Evolved)
8655 	7		1		2	* 			// Ghost (Evolved)
8656 	54		1		2	* 			// Mummy Boy (Evolved)
8672 	42		1		2	8673 		// Toy Soldier 
8673 	43		1		4	* 			// Toy Soldier (Evolved)
8674 	59		1		4	8674 		// Christmas Tree
8675 	59		1		2	* 			// Christmas Tree (Evolved)
8676 	54		1		2	8676 		// Snowman 
8677 	54		1		2	* 			// Snowman (Evolved)
8678 	50		1		2	8678 		// Busker Monkey 
8679 	51		1		4	* 			// Busker Monkey (Evolved)
8680 	38		1		4	8680 		// DJ Monkey 
8681 	38		1		2	* 			// DJ Monkey (Evolved)
8682 	25		1		2	8682 		// Space Monkey 
8683 	25		1		2	* 			// Space Monkey (Evolved)
8684 	40		1		2	8684 		// Little Cupid 
8685 	41		1		4	* 			// Little Cupid (Evolved)
8686 	49		1		4	8686 		// Chocolate Cookie 
8687 	49		1		2	* 			// Chocolate Cookie (Evolved)
8688 	34		1		2	8687 		// Heart Girl
8689 	34		1		2	* 			// Heart Girl (Evolved)
8690 	50		1		2	8690 		// Candy Girl 
8691 	51		1		2	* 			// Candy Girl (Evolved)
8692 	57		1		2	8692 		// Lollipop Mama 
8693 	57		1		2	* 			// Lollipop Mama (Evolved)
8694 	28		1		2	8694 		// Sweet Muscle Man 
8695 	28		1		2	* 			// Sweet Muscle Man (Evolved)
end

1																		
//Opt	Va0	Va1	Va2	Va3	Va4	MaxVal	Spc	SpcVal	Map	PlTime	DayWeek	MinHour	MaxHour	MinLvl	MaxLvl	MinMLvl	MaxMLvl
0		22	26	30	34	0	38		0	10		*	*		*		10		15		*		*		*		*		// Level 3 pets have increased defense
1		9	12	15	18	0	21		0	15		*	*		14		*		*		*		*		*		*		// Level 3 pets * Superior blow damage increased
2		2	4	6	0	0	8		0	5		56	*		*		*		*		*		*		*		*		// Level 2 pet * Attack / Magic / Curse increased
3		2	4	0	0	0	6		0	5		*	*		*		*		*		1		200		*		*		// Level 1 pet * Lucky Strike damage increased
4		14	16	18	20	22	25		0	20		*	*		*		12		24		*		*		*		*		// Level 4 pet * Attack / Magic / Curse increased
5		4	6	8	0	0	100		0	5		*	*		*		1		24		*		*		*		*		// Level 2 pets * Superior blow damage increased
6		2	4	6	0	0	8		0	5		*	*		*		13		23		*		*		*		*		// Level 2 pets * Superior blow damage increased
7		14	16	18	20	22	25		0	20		*	*		*		*		*		*		*		*		*		// Level 4 pet * Attack / Magic / Curse increased
8		1	2	3	0	0	4		1	5		*	*		*		13		23		*		*		*		*		// 
9		14	16	18	20	22	25		0	20		*	*		*		*		*		*		*		*		*		// Week * Maximum Attack / Magic / Curse Increase
10		2	4	6	0	0	8		0	5		*	*		*		*		*		*		*		201		*		// Master level * Lucky Strike damage increased
11		2	4	6	0	0	8		0	5		*	*		*		*		*		1		200		*		*		// Level * Lucky Strike damage increased
12		23	26	29	32	35	38		0	20		*	*		113		*		*		*		*		*		*		// time * excellent blow damage increased
13		6	8	10	12	0	14		0	15		*	*		*		1		11		*		*		*		*		// time * attack / magic / curse increase
14		2	6	10	0	0	14		0	5		*	*		*		*		*		1		200		*		*		// level * defense increase
end


2
//	Convert	ItemId	Quantity
0	8403	8676	2	
1	8403	7004	2	
2	8403	7000	3	
3	8403	6982	2	
4	8403	6984	2	
5	8403	6986	2	
6	8403	7065	3	
7	8403	7071	3	
8	8403	7081	3	
9	8403	7083	3	
10	8403	7085	3	
11	8403	7089	3	
12	8403	7095	3	
13	8403	7101	3	
14	8403	7107	3	
15	8403	7113	3	
16	8403	7018	3	
17	8403	6918	3	
end
